Battery History (2% used, 106KB used of 4096KB, 119 strings using 7398):
                    0 (14) RESET:TIME: 2025-08-23-03-26-39
          +1m37s803ms (2) 040 +wake_lock=1000:"*alarm*:TIME_TICK"
          +1m37s861ms (2) 040 +tmpwhitelist=1000:"broadcast:1000:com.oplus.app.spm.alarm.get.stats,reason:"
          +1m37s888ms (2) 040 +job=u0a216:"com.google.android.providers.media.module/androidx.work.impl.background.systemjob.SystemJobService"
          +1m37s902ms (2) 040 +job=u0a83:"com.google.android.as/androidx.work.impl.background.systemjob.SystemJobService"
          +1m37s913ms (2) 040 +job=u0a163:"com.google.android.tts/androidx.work.impl.background.systemjob.SystemJobService"
          +1m37s929ms (2) 040 +job=u0a155:"com.google.android.inputmethod.latin/androidx.work.impl.background.systemjob.SystemJobService"
          +1m37s942ms (2) 040 +job=u0a15:"com.soundcloud.android/androidx.work.impl.background.systemjob.SystemJobService"
          +1m37s952ms (2) 040 +job=u0a15:"com.soundcloud.android.provider.ScContentProvider/com.soundcloud.android.account/user-974400562:android"
          +1m37s957ms (2) 040 +job=1000:"android/com.android.server.MountServiceIdler"
          +1m37s961ms (2) 040 +job=1000:"android/com.android.server.pm.DynamicCodeLoggingService"
          +1m37s965ms (2) 040 +job=u0a197:"com.google.android.apps.nbu.files/androidx.work.impl.background.systemjob.SystemJobService"
          +1m38s032ms (2) 040 -job=u0a216:"com.google.android.providers.media.module/androidx.work.impl.background.systemjob.SystemJobService"
          +1m38s196ms (2) 040 -job=u0a83:"com.google.android.as/androidx.work.impl.background.systemjob.SystemJobService"
          +1m38s216ms (2) 040 +job=u0a292:"com.truecaller/androidx.work.impl.background.systemjob.SystemJobService"
          +1m38s331ms (2) 040 -job=u0a163:"com.google.android.tts/androidx.work.impl.background.systemjob.SystemJobService"
          +1m38s341ms (2) 040 +job=u0a208:"com.google.android.apps.messaging/androidx.work.impl.background.systemjob.SystemJobService"
          +1m38s529ms (2) 040 -job=u0a155:"com.google.android.inputmethod.latin/androidx.work.impl.background.systemjob.SystemJobService"
          +1m39s773ms (2) 040 -job=u0a15:"com.soundcloud.android.provider.ScContentProvider/com.soundcloud.android.account/user-974400562:android"
          +1m39s782ms (2) 040 +job=u0a145:"com.android.vending/com.google.android.finsky.scheduler.process.backgroundimpl.PhoneskyJobServiceBackground"
          +1m39s783ms (2) 040 -job=1000:"android/com.android.server.MountServiceIdler"
          +1m39s790ms (2) 040 +job=u0a198:"com.google.android.dialer/androidx.work.impl.background.systemjob.SystemJobService"
          +1m39s794ms (2) 040 -job=u0a197:"com.google.android.apps.nbu.files/androidx.work.impl.background.systemjob.SystemJobService"
          +1m39s807ms (2) 040 +job=u0a209:"com.google.android.contacts/androidx.work.impl.background.systemjob.SystemJobService"
          +1m39s808ms (2) 040 -job=u0a15:"com.soundcloud.android/androidx.work.impl.background.systemjob.SystemJobService"
          +1m39s813ms (2) 040 +job=u0a301:"com.jio.myjio/androidx.work.impl.background.systemjob.SystemJobService"
          +1m39s989ms (2) 040 -job=1000:"android/com.android.server.pm.DynamicCodeLoggingService"
          +1m40s000ms (2) 040 +job=u0a266:"com.google.android.apps.translate/androidx.work.impl.background.systemjob.SystemJobService"
          +1m40s122ms (2) 040 +job=u0a334:"com.google.android.apps.paidtasks/androidx.work.impl.background.systemjob.SystemJobService"
          +1m40s304ms (2) 040 -job=u0a334:"com.google.android.apps.paidtasks/androidx.work.impl.background.systemjob.SystemJobService"
          +1m40s324ms (2) 040 +job=u0a334:"com.google.android.apps.paidtasks/androidx.work.impl.background.systemjob.SystemJobService"
          +1m40s329ms (2) 040 -job=u0a334:"com.google.android.apps.paidtasks/androidx.work.impl.background.systemjob.SystemJobService"
          +1m40s359ms (2) 040 +job=u0a225:"com.google.android.apps.tachyon/androidx.work.impl.background.systemjob.SystemJobService"
          +1m40s378ms (2) 040 -job=u0a208:"com.google.android.apps.messaging/androidx.work.impl.background.systemjob.SystemJobService"
          +1m40s403ms (2) 040 +job=u0a367:"org.fdroid.fdroid/androidx.work.impl.background.systemjob.SystemJobService"
          +1m40s419ms (2) 040 +job=u0a197:"com.google.android.apps.nbu.files/androidx.work.impl.background.systemjob.SystemJobService"
          +1m40s817ms (2) 040 -job=u0a367:"org.fdroid.fdroid/androidx.work.impl.background.systemjob.SystemJobService"
          +1m40s922ms (2) 040 -job=u0a266:"com.google.android.apps.translate/androidx.work.impl.background.systemjob.SystemJobService"
          +1m40s954ms (2) 040 +job=1000:"android/com.android.server.pm.DynamicCodeLoggingService"
          +1m40s960ms (2) 040 -job=u0a197:"com.google.android.apps.nbu.files/androidx.work.impl.background.systemjob.SystemJobService"
          +1m41s052ms (2) 040 -job=u0a209:"com.google.android.contacts/androidx.work.impl.background.systemjob.SystemJobService"
          +1m41s353ms (2) 040 -job=u0a145:"com.android.vending/com.google.android.finsky.scheduler.process.backgroundimpl.PhoneskyJobServiceBackground"
          +1m41s550ms (2) 040 -job=1000:"android/com.android.server.pm.DynamicCodeLoggingService"
          +1m41s616ms (2) 040 -job=u0a292:"com.truecaller/androidx.work.impl.background.systemjob.SystemJobService"
          +1m41s938ms (2) 040 -job=u0a301:"com.jio.myjio/androidx.work.impl.background.systemjob.SystemJobService"
          +1m41s995ms (2) 040 -job=u0a198:"com.google.android.dialer/androidx.work.impl.background.systemjob.SystemJobService"
          +1m42s461ms (2) 040 -job=u0a225:"com.google.android.apps.tachyon/androidx.work.impl.background.systemjob.SystemJobService"
          +1m43s656ms (1) 040 -wake_lock
          +1m44s378ms (2) 040 +wake_lock=u0a225:"*job*/com.google.android.apps.tachyon/androidx.work.impl.background.systemjob.SystemJobService"
          +1m44s402ms (2) 040 +job=u0a225:"com.google.android.apps.tachyon/androidx.work.impl.background.systemjob.SystemJobService"
          +1m44s472ms (2) 040 -job=u0a225:"com.google.android.apps.tachyon/androidx.work.impl.background.systemjob.SystemJobService"
          +1m44s472ms (1) 040 -wake_lock
          +1m45s149ms (2) 040 +wake_lock=1000:"SyncLoopWakeLock"
          +1m45s158ms (1) 040 -wake_lock
          +1m45s708ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +1m45s909ms (1) 040 -wake_lock
          +1m45s917ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +1m46s120ms (1) 040 -wake_lock
          +1m47s886ms (2) 040 -tmpwhitelist=1000:"broadcast:1000:com.oplus.app.spm.alarm.get.stats,reason:"
          +1m48s210ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +1m48s413ms (1) 040 -wake_lock
          +1m48s920ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +1m49s126ms (1) 040 -wake_lock
          +1m50s650ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +1m50s852ms (1) 040 -wake_lock
          +1m51s152ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +1m51s356ms (1) 040 -wake_lock
          +1m51s598ms (2) 040 +wake_lock=1000:"*walarm*:com.heytap.mcs.action"
          +1m51s608ms (1) 040 -wake_lock
          +1m51s920ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +1m52s126ms (1) 040 -wake_lock
          +1m53s652ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +1m53s855ms (1) 040 -wake_lock
          +1m54s922ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +1m55s128ms (1) 040 -wake_lock
          +1m57s070ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +1m57s274ms (1) 040 -wake_lock
          +1m58s191ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +1m58s393ms (1) 040 -wake_lock
          +1m59s351ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +1m59s555ms (1) 040 -wake_lock
          +2m00s922ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m01s126ms (1) 040 -wake_lock
          +2m01s851ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m02s054ms (1) 040 -wake_lock
          +2m03s921ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m04s126ms (1) 040 -wake_lock
          +2m04s912ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m05s116ms (1) 040 -wake_lock
          +2m07s790ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m07s994ms (1) 040 -wake_lock
          +2m10s291ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m10s494ms (1) 040 -wake_lock
          +2m11s124ms (1) 040 -mobile_radio
          +2m11s136ms (2) 040 +wake_lock=1001:"*telephony-radio*"
          +2m11s138ms (1) 040 -wake_lock
          +2m11s138ms (2) 040 +wake_lock=1000:"*telephony-radio*"
          +2m11s150ms (2) 040 stats=0:"modem-data"
          +2m11s149ms (3) 040 -wake_lock
          +2m11s151ms (2) 040 +wake_lock=1001:"*telephony-radio*"
          +2m11s152ms (1) 040 -wake_lock
          +2m11s158ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m11s396ms (1) 040 -wake_lock
          +2m12s197ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m12s409ms (1) 040 -wake_lock
          +2m14s573ms (2) 040 wakeupap=u0a411:""
          +2m14s573ms (1) 040 +mobile_radio
          +2m14s680ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m14s931ms (1) 040 -wake_lock
          +2m15s771ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m15s974ms (1) 040 -wake_lock
          +2m16s543ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m16s749ms (1) 040 -wake_lock
          +2m18s352ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m18s554ms (1) 040 -wake_lock
          +2m21s390ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m21s593ms (1) 040 -wake_lock
          +2m22s623ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m22s828ms (1) 040 -wake_lock
          +2m25s227ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m25s429ms (1) 040 -wake_lock
          +2m28s701ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m28s949ms (1) 040 -wake_lock
          +2m31s741ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m31s946ms (1) 040 -wake_lock
          +2m32s273ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m32s476ms (1) 040 -wake_lock
          +2m34s783ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m34s988ms (1) 040 -wake_lock
          +2m35s472ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m35s676ms (1) 040 -wake_lock
          +2m36s434ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m36s472ms (1) 040 -mobile_radio
          +2m36s614ms (2) 040 stats=0:"modem-data"
          +2m36s722ms (1) 040 -wake_lock
          +2m37s795ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m37s873ms (2) 040 stats=0:"procstate-change"
          +2m38s001ms (1) 040 -wake_lock
          +2m40s441ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m40s494ms (2) 040 wakeupap=u0a411:""
          +2m40s494ms (1) 040 +mobile_radio
          +2m40s692ms (1) 040 -wake_lock
          +2m40s789ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m40s993ms (1) 040 -wake_lock
          +2m42s951ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m43s154ms (1) 040 -wake_lock
          +2m43s802ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m44s007ms (1) 040 -wake_lock
          +2m45s451ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m45s652ms (1) 040 -wake_lock
          +2m46s802ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m47s007ms (1) 040 -wake_lock
          +2m47s951ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m48s153ms (1) 040 -wake_lock
          +2m49s033ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m49s235ms (1) 040 -wake_lock
          +2m49s532ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m49s734ms (1) 040 -wake_lock
          +2m50s904ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m51s059ms (1) 040 -mobile_radio
          +2m51s084ms (2) 040 stats=0:"modem-data"
          +2m51s143ms (1) 040 -wake_lock
          +2m51s226ms (2) 040 wakeupap=u0a411:""
          +2m51s226ms (1) 040 +mobile_radio
          +2m51s247ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m51s627ms (1) 040 -wake_lock
          +2m53s932ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m54s134ms (1) 040 -wake_lock
          +2m56s431ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m56s634ms (1) 040 -wake_lock
          +2m58s932ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +2m59s134ms (1) 040 -wake_lock
          +3m01s431ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +3m01s636ms (1) 040 -wake_lock
          +3m01s703ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +3m01s811ms (1) 040 -mobile_radio
          +3m01s897ms (2) 040 stats=0:"modem-data"
          +3m01s938ms (1) 040 -wake_lock
          +3m02s117ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +3m02s327ms (1) 040 -wake_lock
          +3m05s743ms (2) 040 wakeupap=u0a411:""
          +3m05s743ms (1) 040 +mobile_radio
          +3m05s799ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +3m06s057ms (1) 040 -wake_lock
          +3m08s310ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +3m08s513ms (1) 040 -wake_lock
          +3m10s810ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +3m11s011ms (1) 040 -wake_lock
          +3m13s313ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +3m13s516ms (1) 040 -wake_lock
          +3m15s811ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +3m16s015ms (1) 040 -wake_lock
          +3m18s311ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +3m18s513ms (1) 040 -wake_lock
          +3m18s990ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +3m19s192ms (1) 040 -wake_lock
          +3m19s490ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +3m19s692ms (1) 040 -wake_lock
          +3m21s992ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +3m22s194ms (1) 040 -wake_lock
          +3m23s764ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +3m23s969ms (1) 040 -wake_lock
          +3m24s511ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +3m24s713ms (1) 040 -wake_lock
          +3m26s765ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +3m26s970ms (1) 040 -wake_lock
          +3m27s010ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +3m27s213ms (1) 040 -wake_lock
          +3m29s531ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +3m29s734ms (1) 040 -wake_lock
          +3m36s884ms (1) 040 -mobile_radio
          +3m36s892ms (2) 040 +wake_lock=1001:"*telephony-radio*"
          +3m36s894ms (1) 040 -wake_lock
          +3m36s894ms (2) 040 +wake_lock=1000:"*telephony-radio*"
          +3m36s905ms (1) 040 -wake_lock
          +3m36s905ms (2) 040 +wake_lock=1001:"*telephony-radio*"
          +3m36s906ms (2) 040 stats=0:"modem-data"
          +3m36s906ms (1) 040 -wake_lock
          +3m36s916ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +3m37s147ms (1) 040 -wake_lock
          +3m37s957ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +3m38s167ms (1) 040 -wake_lock
          +3m41s812ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +3m41s890ms (2) 040 wakeupap=u0a411:""
          +3m41s890ms (1) 040 +mobile_radio
          +3m42s211ms (1) 040 -wake_lock
          +3m44s752ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +3m44s956ms (1) 040 -wake_lock
          +3m45s295ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +3m45s501ms (1) 040 -wake_lock
          +3m47s950ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +3m48s152ms (1) 040 -wake_lock
          +3m51s151ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +3m51s505ms (1) 040 -wake_lock
          +3m52s427ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +3m52s500ms (1) 040 -mobile_radio
          +3m52s610ms (2) 040 stats=0:"modem-data"
          +3m52s661ms (1) 040 -wake_lock
          +3m53s319ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +3m53s531ms (1) 040 -wake_lock
          +3m56s892ms (2) 040 wakeupap=u0a411:""
          +3m56s892ms (1) 040 +mobile_radio
          +3m57s000ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +3m57s253ms (1) 040 -wake_lock
          +3m57s601ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +3m57s806ms (1) 040 -wake_lock
          +3m59s511ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +3m59s713ms (1) 040 -wake_lock
          +4m01s845ms (2) 040 stats=0:"procstate-change"
          +4m02s011ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +4m02s213ms (1) 040 -wake_lock
          +4m03s331ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +4m03s533ms (1) 040 -wake_lock
          +4m03s602ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +4m03s807ms (1) 040 -wake_lock
          +4m03s832ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +4m04s035ms (1) 040 -wake_lock
          +4m06s331ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +4m06s535ms (1) 040 -wake_lock
          +4m06s601ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +4m06s806ms (1) 040 -wake_lock
          +4m08s832ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +4m09s034ms (1) 040 -wake_lock
          +4m09s996ms (2) 041 charge=1845
          +4m10s040ms (2) 041 +wake_lock=u0a120:"Doze:KeyguardIndication"
          +4m10s041ms (1) 041 -wake_lock
          +4m10s040ms (4) 041 stats=0:"wakelock-change"
          +4m11s324ms (2) 041 +wake_lock=1001:"RILJ_ACK_WL"
          +4m11s524ms (1) 041 -wake_lock
          +4m11s823ms (2) 041 +wake_lock=1001:"RILJ_ACK_WL"
          +4m12s024ms (1) 041 -wake_lock
          +4m12s323ms (2) 041 +wake_lock=1001:"RILJ_ACK_WL"
          +4m12s524ms (1) 041 -wake_lock
          +4m12s594ms (2) 041 +wake_lock=1001:"RILJ_ACK_WL"
          +4m12s796ms (1) 041 -wake_lock
          +4m14s832ms (2) 041 +wake_lock=1001:"RILJ_ACK_WL"
          +4m15s035ms (1) 041 -wake_lock
          +4m15s601ms (2) 041 +wake_lock=1001:"RILJ_ACK_WL"
          +4m15s806ms (1) 041 -wake_lock
